,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
0,Aachen,L5,21,1880,50.775,6.08333
1,Aarhus,H6,720,1951,56.18333,10.23333
2,Abee,EH4,"107,000",1952,54.21667,-113
3,Acapulco,Acapulcoite,"1,914",1976,16.88333,-99.9
4,Achiras,L6,780,1902,-33.16667,-64.95
5,Adhi Kot,EH4,"4,239",1919,32.1,71.8
6,Adzhi-Bogdo (stone),LL3-6,910,1949,44.83333,95.16667
7,Agen,H5,"30,000",1814,44.21667,0.61667
8,Aguada,L6,"1,620",1930,-31.6,-65.23333
9,Aguila Blanca,L,"1,440",1920,-30.86667,-64.55
10,Aioun el Atrouss,Diogenite-pm,"1,000",1974,16.39806,-9.57028
11,Aïr,L6,"24,000",1925,19.08333,8.38333
12,Akaba,L6,779,1949,29.51667,35.05
13,Akbarpur,H4,"1,800",1838,29.71667,77.95
14,Akwanga,H,"3,000",1959,8.91667,8.43333
15,Akyumak,"Iron, IVA","50,000",1981,39.91667,42.81667
16,Al Rais,CR2-an,160,1957,24.41667,39.51667
17,Al Zarnkh,LL5,700,2001,13.66033,28.96
18,Alais,CI1,"6,000",1806,44.11667,4.08333
19,Albareto,L/LL4,"2,000",1766,44.65,11.01667
20,Alberta,L,625,1949,2,22.66667
21,Alby sur Chéran,Eucrite-mmict,252,2002,45.82133,6.01533
22,Aldsworth,LL5,700,1835,51.78333,-1.78333
23,Aleppo,L6,"3,200",1873,36.23333,37.13333
24,Alessandria,H5,908,1860,44.88333,8.75
25,Alexandrovsky,H4,"9,251",1900,50.95,31.81667
26,Alfianello,L6,"228,000",1883,45.26667,10.15
27,Allegan,H5,"32,000",1899,42.53333,-85.88333
28,Allende,CV3,"2,000,000",1969,26.96667,-105.31667
29,Almahata Sitta,Ureilite-an,"3,950",2008,20.74575,32.41275
30,Alta'ameem,LL5,"6,000",1977,35.27333,44.21556
31,Ambapur Nagla,H5,"6,400",1895,27.66667,78.25
32,Andhara,Stone-uncl,"2,700",1880,26.58333,85.56667
33,Andover,L6,"3,200",1898,44.61667,-70.75
34,Andreevka,L3,600,1969,48.7,37.5
35,Andura,H6,"17,900",1939,20.88333,76.86667
36,Angra dos Reis (stone),Angrite,"1,500",1869,-22.96667,-44.31667
37,Ankober,H4,"6,500",1942,9.53333,39.71667
38,Anlong,H5,"2,500",1971,25.15,105.18333
39,Aomori,L6,320,1984,40.81056,140.78556
40,Appley Bridge,LL6,"15,000",1914,53.58333,-2.71667
41,Apt,L6,"3,200",1803,43.86667,5.38333
42,Arbol Solo,H5,810,1954,-33,-66
43,Archie,H6,"5,070",1932,38.5,-94.3
44,Arroyo Aguiar,H5,"7,450",1950,-31.41667,-60.66667
45,Asco,H6,41,1805,42.45,9.03333
46,Ash Creek,L6,"9,500",2009,31.805,-97.01
47,Ashdon,L6,"1,300",1923,52.05,0.3
48,Assisi,H5,"2,000",1886,43.03333,12.55
49,Atarra,L4,"1,280",1920,25.25417,80.625
50,Atemajac,L6,94.2,1896,20.06667,-103.66667
51,Athens,LL6,265,1933,34.75,-87
52,Atoka,L6,"1,384.20",1945,34.31667,-96.15
53,Aubres,Aubrite,800,1836,44.38333,5.16667
54,Aumale,L6,"50,000",1865,36.16667,3.66667
55,Aumieres,L6,"2,000",1842,44.33333,3.23333
56,Ausson,L5,"50,000",1858,43.08333,0.58333
57,Avanhandava,H4,"9,330",1952,-21.46028,-49.95083
58,Avce,"Iron, IIAB","1,230",1908,46,13.5
59,Avilez,H,146,1855,25,-103.5
60,Awere,L4,134,1968,2.71667,32.83333
61,Aztec,L6,"2,830",1938,36.8,-108
62,Bachmut,L6,"18,000",1814,48.6,38
63,Bahjoi,"Iron, IAB-sLL","10,322",1934,28.48333,78.5
64,Bald Mountain,L4,"3,700",1929,35.96667,-82.48333
65,Baldwyn,L6,345,1922,34.5,-88.66667
66,Bali,CV3,"1,000",1907,5.38333,16.38333
67,Ban Rong Du,"Iron, ungrouped","16,700",1993,16.66667,101.18333
68,Bandong,LL6,"11,500",1871,-6.91667,107.6
69,Bansur,L6,"15,000",1892,27.7,76.33333
70,Banswal,L5,14,1913,30.4,78.2
71,Banten,CM2,629,1933,-6.33333,106
72,Barbotan,H5,"6,400",1790,43.95,-0.05
73,Barea,Mesosiderite-A1,"3,200",1842,42.38333,-2.5
74,Barnaul,H5,23.2,1904,52.73333,84.08333
75,Barntrup,LL4,17,1886,52,9.1
76,Baroti,L6,"4,500",1910,31.61667,76.8
77,Barwell,L5,"44,000",1965,52.56528,-1.33972
78,Bassikounou,H5,"29,560",2006,15.78333,-5.9
79,Baszkówka,L5,"15,500",1994,52.03333,20.93583
80,Bath,H4,"21,000",1892,45.41667,-98.31667
81,Bath Furnace,L6,"86,000",1902,38.25,-83.75
82,Battle Mountain,L6,"2,900",2012,40.66813,-117.18913
83,Bawku,LL5,"1,557",1989,11.08333,-0.18333
84,Baxter,L6,611,1916,36.75,-93.5
85,Beardsley,H5,"16,000",1929,39.8,-101.2
86,Beaver Creek,H5,"14,000",1893,51.16667,-117.33333
87,Beddgelert,H5,794,1949,53.01667,-4.1
88,Bells,C2-ung,375,1961,33.6,-96.46667
